filename, language, Java, comment, blank, total
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\ButtonMap.java, Java, 101, 11, 4, 116
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\CommandSuites.java, Java, 33, 9, 6, 48
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\Main.java, Java, 9, 16, 5, 30
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\OI.java, Java, 8, 10, 4, 22
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\Robot.java, Java, 127, 6, 18, 151
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotConfig.java, Java, 121, 9, 21, 151
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotMap.java, Java, 106, 6, 37, 149
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotStats.java, Java, 18, 9, 4, 31
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CenterHighGoalAuto.java, Java, 18, 14, 4, 36
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CrossLine.java, Java, 9, 14, 4, 27
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\RightAdvancedAuto.java, Java, 16, 14, 4, 34
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ArmSetPosition.java, Java, 13, 11, 5, 29
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\AutoFiringSequence.java, Java, 9, 14, 4, 27
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ChangeLightRingState.java, Java, 13, 11, 5, 29
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetFlyWheelVelocity.java, Java, 23, 14, 8, 45
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetHoodPosition.java, Java, 24, 14, 9, 47
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeadReackonDrive.java, Java, 35, 14, 10, 59
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeployClimber.java, Java, 10, 14, 5, 29
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DisableMagazineBeamBreaks.java, Java, 23, 14, 8, 45
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\FeederBeltAutomation.java, Java, 8, 14, 4, 26
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\FeederWheelsAutomation.java, Java, 8, 14, 4, 26
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\FireSequence.java, Java, 9, 16, 5, 30
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineAutomation.java, Java, 8, 14, 4, 26
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineControl.java, Java, 26, 14, 10, 50
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\RunBeltBurst.java, Java, 9, 14, 4, 27
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetBeltSpeed.java, Java, 23, 14, 8, 45
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetFlyWheelVelocity.java, Java, 14, 11, 6, 31
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetHoodPosition.java, Java, 13, 11, 6, 30
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetIntakeSpeed.java, Java, 13, 11, 5, 29
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetPiston.java, Java, 27, 12, 11, 50
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetWheelsSpeed.java, Java, 23, 14, 8, 45
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ShootingSequence.java, Java, 9, 14, 5, 28
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TargetWinchposition.java, Java, 13, 11, 5, 29
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TimedMagazineRun.java, Java, 30, 14, 10, 54
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TrackVisionTarget.java, Java, 30, 14, 12, 56
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\WachetSpeed.java, Java, 20, 11, 5, 36
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\tests\test.java, Java, 19, 14, 8, 41
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\DriveEncoder.java, Java, 30, 0, 6, 36
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\FlywheelEncoder.java, Java, 5, 9, 4, 18
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\LidarLite.java, Java, 24, 9, 5, 38
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\Navx.java, Java, 70, 0, 7, 77
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\VisionCamera.java, Java, 110, 0, 13, 123
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Arm.java, Java, 99, 21, 11, 131
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Climber.java, Java, 44, 10, 6, 60
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\DriveTrain.java, Java, 246, 10, 28, 284
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Hood.java, Java, 99, 18, 7, 124
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Intake.java, Java, 36, 10, 6, 52
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Magazine.java, Java, 98, 13, 9, 120
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Shooter.java, Java, 67, 13, 7, 87
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\CascadingPIDTurn.java, Java, 49, 10, 11, 70
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PID.java, Java, 93, 1, 14, 108
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PurePursuitController.java, Java, 265, 22, 14, 301
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Point.java, Java, 33, 0, 3, 36
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Vector.java, Java, 32, 0, 2, 34
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\Odometry.java, Java, 146, 16, 16, 178
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathList.java, Java, 27, 9, 12, 48
c:\Users\User\Documents\GitHub\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathSetup.java, Java, 35, 0, 10, 45
Total, -, 2626, 632, 476, 3734